# Program:featureCounts v1.5.3; Command:"featureCounts" "-p" "-T" "4" "-a" "/annot/exampleAnnotation.gff" "-o" "/out/example.bam.txt" "-t" "gene" "-g" "Name" "/bam/example.bam" 
Geneid	Chr	Start	End	Strand	Length	/bam/example.bam
LOC112447072	NC_037328.1	210759	214966	-	4208	0
LOC101903639	NC_037328.1	217517	257046	-	39530	0
LOC618219	NC_037328.1	260033	269063	-	9031	0
LOC112447074	NC_037328.1	285094	289223	-	4130	0
LOC112447010	NC_037328.1	336200	415481	-	79282	0
LOC100138661	NC_037328.1	419959	423015	-	3057	0
LOC101903444	NC_037328.1	1076031	1076459	+	429	0
C1H21orf140	NC_037328.1	1096408	1100866	-	4459	1
SMIM11A	NC_037328.1	1102879	1118312	-	15434	291
KCNE2	NC_037328.1	1123941	1131748	-	7808	0
LOC112446832	NC_037328.1	1190506	1194027	-	3522	0
LOC112447088	NC_037328.1	1238047	1241373	+	3327	0
LOC107132170	NC_037328.1	1375149	1386887	-	11739	6
MRPS6	NC_037328.1	1390798	1455166	-	64369	808
SLC5A3	NC_037328.1	1421585	1433298	-	11714	0
LOC112448353	NC_037328.1	1472144	1472250	+	107	0
LOC112447090	NC_037328.1	1523780	1552743	+	28964	0
LOC112447091	NC_037328.1	1555715	1570159	-	14445	3
ATP5PO	NC_037328.1	1643680	1651038	+	7359	5037
LOC104970779	NC_037328.1	3073599	3084955	+	11357	0
URB1	NC_037328.1	3103263	3180340	+	77078	361
MRAP	NC_037328.1	3183205	3197711	-	14507	16
MIS18A	NC_037328.1	3210652	3222939	+	12288	105
HUNK	NC_037328.1	3498977	3629442	-	130466	10
LOC112447138	NC_037328.1	3529048	3530546	+	1499	0
SCAF4	NC_037328.1	3760563	3822169	+	61607	605
SOD1	NC_037328.1	3824612	3833280	-	8669	1057
TIAM1	NC_037328.1	3966979	4431759	+	464781	2373
MIR2284I	NC_037328.1	4288068	4288144	+	77	0
MIR2284X	NC_037328.1	4315515	4315610	-	96	0
KRTAP11-1	NC_037328.1	4673635	4674517	+	883	0
KRTAP7-1	NC_037328.1	4736889	4737173	+	285	0
KRTAP8-1	NC_037328.1	4759981	4760169	+	189	0
LOC112446888	NC_037328.1	4845026	4845634	-	609	0
LOC112446904	NC_037328.1	4857208	4857819	+	612	0
LOC112446920	NC_037328.1	4867852	4868482	-	631	0
LOC112446936	NC_037328.1	4878277	4878862	+	586	0
LOC101907866	NC_037328.1	4888337	4888651	+	315	0
LOC112446952	NC_037328.1	4901610	4902198	-	589	0
LOC101907950	NC_037328.1	4909284	4909598	+	315	0
LOC112446968	NC_037328.1	4913741	4914373	+	633	0
LOC112446980	NC_037328.1	4925473	4926072	-	600	0
LOC785105	NC_037328.1	4941900	4942214	+	315	0
LOC112446981	NC_037328.1	4946565	4947198	+	634	0
LOC112446982	NC_037328.1	4957259	4957874	-	616	0
LOC112446983	NC_037328.1	5140295	5140917	+	623	0
LOC112446984	NC_037328.1	5173364	5173917	-	554	0
LOC112446985	NC_037328.1	5183522	5184152	-	631	0
LOC618359	NC_037328.1	5194742	5195368	-	627	0
LOC614544	NC_037328.1	5379067	5389653	+	10587	0
LOC112446986	NC_037328.1	5506173	5506974	-	802	0
KRTAP13-1	NC_037328.1	5510180	5511025	+	846	0
LOC785121	NC_037328.1	5517167	5517969	-	803	0
LOC785155	NC_037328.1	5522140	5522984	+	845	0
KRTAP13-2	NC_037328.1	5581323	5582192	+	870	0
LOC112447012	NC_037328.1	5597800	5614075	+	16276	0
KRTAP27-1	NC_037328.1	5627690	5629448	+	1759	0
LOC528816	NC_037328.1	5653056	5653598	+	543	0
KRTAP24-1	NC_037328.1	5689919	5692005	+	2087	0
CLDN8	NC_037328.1	5770225	5772220	+	1996	0
CLDN17	NC_037328.1	5829809	5832041	+	2233	155
GRIK1	NC_037328.1	6110929	6577799	+	466871	1
